X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.96575046436,40.78312108136,22D-PM-1012-02,22D,PM,10122018,2,Adult,Gray,"Black, White","Gray+Black, White",No Primary Fur Color selected. Made executive adjustment based on other squirrels.,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9657504643585 40.7831210813592)
-73.96632971446,40.78379320237,22D-PM-1012-03,22D,PM,10122018,3,Adult,Gray,"Black, White","Gray+Black, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9663297144622 40.7837932023685)
-73.96657091467,40.78393843186,22D-PM-1012-04,22D,PM,10122018,4,Adult,Gray,"Black, White","Gray+Black, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9665709146738 40.7839384318554)
-73.96950635353,40.78235076782,20B-PM-1013-05,20B,PM,10132018,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9695063535333 40.7823507678183)
-73.9689000979,40.78283647352,20B-PM-1013-10,20B,PM,10132018,10,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False,,POINT (-73.9689000978955 40.7828364735236)
-73.96888170064,40.78291203214,20B-PM-1013-09,20B,PM,10132018,9,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9688817006443 40.7829120321438)
-73.96820039098,40.78370957695,22B-AM-1013-02,22B,AM,10132018,2,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,climbed tree,False,False,False,False,False,False,True,False,,POINT (-73.968200390984 40.7837095769482)
-73.97041219895,40.7824040237,19A-PM-1013-02,19A,PM,10132018,2,Adult,Gray,White,Gray+White,"Looks very brown, not like English red squirrels",Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9704121989487 40.7824040236981)
-73.96805205799,40.77733866653,15F-PM-1010-06,15F,PM,10102018,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.968052057989 40.777338666528)
-73.97040158596,40.782560007,19A-PM-1013-05,19A,PM,10132018,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9704015859639 40.7825600069973)
